model,scene_label,truth,run,load_ms,local_ms,local_risk,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
gpt4o_mini,blocked_lens,hazard,3,0.51,30.9,hazard,269.56,3090.4,3391.4,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3497,73,0.000568,"Description: The image appears to be dark and grainy, with no discernible objects or features visible. The lack of clarity suggests a low-light environment, which may obscure potential hazards. 

Sensor note: consistent

Proximity: Estimated closest object/person is likely beyond 1m, but visibility is poor.

Risk: caution

Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,3,0.51,30.9,hazard,269.56,1984.4,2285.4,0,yolo-world,disabled,disabled,0.0,hazard,1,5,953,91,9.9e-05,"Description: The image is completely obscured by heavy visual noise, appearing as static or a heavily pixelated, dark green and red pattern. No discernible objects or features are visible.
Sensor note: Consistent with local detector's low brightness reading, but the image quality is so poor that no objects can be detected visually, despite YOLO reporting none.
Proximity: Indeterminate due to image quality.
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,4,0.57,29.64,hazard,269.14,8097.1,8396.5,0,yolo-world,disabled,disabled,0.0,hazard,1,4,910,233,0.006225,"Description: The image shows what appears to be heavy visual noise or static — the camera feed is severely corrupted or the lens may be covered/obscured, with no discernible scene content visible, only green-dominant noise across the entire frame.
Sensor note: YOLO detections report none, which is consistent with an unreadable image; local detector flags low brightness (35/255), which aligns with a degraded/obscured feed. The image itself provides no usable spatial information.
Proximity: Unable to determine — image is entirely noise/static; no depth or object geometry can be extracted. Treating as unknown/potentially hazardous.
Risk: hazard
Pilot suggested action: HOVER

**Reasoning:** A fully corrupted or obscured camera feed means the drone is effectively blind. With no visual information available to confirm a clear flight path, continuing movement risks collision. Immediate hover preserves position while the system investigates whether the issue is a lens obstruction, camera hardware failure, or signal corruption. Do not proceed until a clean image feed is restored.",
gpt4o,blocked_lens,hazard,4,0.57,29.64,hazard,269.14,2405.3,2704.7,0,yolo-world,disabled,disabled,0.0,caution,0,4,730,76,0.00479,"Description: The image appears to be very dark with significant noise, making it difficult to discern any objects or details.
Sensor note: Consistent with the local detector's brightness reading of 35/255, indicating a dark scene.
Proximity: Unable to visually estimate proximity due to darkness; no depth_m data available.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,blocked_lens,hazard,4,0.57,29.64,hazard,269.14,3734.1,4033.4,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3497,88,0.000577,"Description: The image appears to be dark and grainy, with no discernible objects or features visible. The lack of clarity suggests a low-light environment, which may obscure potential hazards. 

Sensor note: consistent; local detector indicates low brightness, aligning with the visual analysis. 

Proximity: Unable to visually estimate proximity due to darkness; depth_m is unreliable in this context. 

Risk: caution 

Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,4,0.57,29.64,hazard,269.14,2053.3,2352.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,953,91,9.9e-05,"Description: The image is completely obscured by heavy visual noise, appearing as static or a heavily pixelated, dark green and red pattern. No discernible objects or features are visible.
Sensor note: Consistent with local detector's low brightness reading, but the image quality is so poor that no objects can be detected visually, despite YOLO reporting none.
Proximity: Indeterminate due to image quality.
Risk: hazard
Pilot suggested action: HOVER",
claude,blocked_lens,hazard,5,0.59,40.42,hazard,275.82,7159.2,7476.0,0,yolo-world,disabled,disabled,0.0,hazard,1,5,910,195,0.005655,"Description: The image shows pure static/noise — the camera feed appears to be completely corrupted or the lens is fully obscured, displaying only random pixel noise with no discernible scene content.
Sensor note: YOLO detects nothing and local detector reports low brightness (35/255); both are consistent with a failed or covered camera feed — this is effectively a blackout/corruption condition.
Proximity: Cannot be determined — no valid visual data; scene depth is indeterminate and all obstacle/person detection is impossible.
Risk: hazard
Pilot suggested action: LAND

**Reasoning:** A fully corrupted or obscured camera feed means Tier 3 cognitive reasoning has no valid input to make safe navigation decisions. With no reliable visual information, continuing flight is unsafe regardless of other sensor states. Immediate controlled landing is the safest response to eliminate collision risk while the camera fault is investigated.",
gpt4o,blocked_lens,hazard,5,0.59,40.42,hazard,275.82,2559.2,2876.0,0,yolo-world,disabled,disabled,0.0,caution,0,4,730,76,0.00479,"Description: The image appears to be very dark with significant noise, making it difficult to discern any objects or details.
Sensor note: Consistent with the local detector's brightness reading of 35/255, indicating a dark scene.
Proximity: Unable to visually estimate proximity due to darkness; no depth_m data available.
Risk: Caution
Pilot suggested action: HOVER",
gpt4o_mini,blocked_lens,hazard,5,0.59,40.42,hazard,275.82,3030.8,3347.6,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3497,73,0.000568,"Description: The image appears to be dark and grainy, with no discernible objects or features visible. The lack of clarity suggests a low-light environment, which may obscure potential hazards. 

Sensor note: consistent

Proximity: Estimated closest object/person is likely beyond 1m, but visibility is poor.

Risk: caution

Pilot suggested action: HOVER",
gemini,blocked_lens,hazard,5,0.59,40.42,hazard,275.82,2092.9,2409.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,953,105,0.000103,"Description: The image is completely obscured by heavy visual noise, appearing as static or a heavily pixelated, dark green and red pattern. No discernible objects or features are visible.
Sensor note: The local detector reports a dark scene (brightness=35/255), which is consistent with the visually obscured and dark image. YOLO detections are none, which is also consistent as nothing is visible.
Proximity: Cannot determine proximity due to complete visual obstruction.
Risk: hazard
Pilot suggested action: HOVER",
